,MLST best match,MLST match 2,MLST match 3,MLST match 4,MLST match 5,16S_rRNA_1 mean depth,16S_rRNA_2 mean depth,23S_rRNA_1 mean depth,23S_rRNA_2 mean depth,rdxA mean depth,vacA mean depth,yphC mean depth,gyrA mean depth,frxA mean depth,ppa mean depth,pbp1 mean depth,cagA mean depth,gyrB mean depth,efp mean depth,mutY mean depth,ureI mean depth,hsp60 mean depth,fdxB mean depth,trpC mean depth,rpoB mean depth,atpA mean depth,16S_rRNA_1 coverage,16S_rRNA_2 coverage,23S_rRNA_1 coverage,23S_rRNA_2 coverage,rdxA coverage,vacA coverage,yphC coverage,gyrA coverage,frxA coverage,ppa coverage,pbp1 coverage,cagA coverage,gyrB coverage,efp coverage,mutY coverage,ureI coverage,hsp60 coverage,fdxB coverage,trpC coverage,rpoB coverage,atpA coverage,23S_1 Mutations,23S_2 Mutations,16S_1 Mutations,16S_2 Mutations,gyrA Mutations
DC1_10_S10,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),887.6793333333334,660.6786666666667,748.706734006734,734.2619528619529,194.06803797468353,122.88261851015801,0.0,335.0607157217531,230.98468606431854,0.0,319.46417759838545,157.1562857142857,320.7044377423524,0.0,0.0,0.0,404.43353658536586,372.4593023255814,0.0,855.1457286432161,0.0,1.0,0.998,1.0,1.0,0.9984177215189873,1.0,0.0,0.9995979091274628,1.0,0.0,1.0,0.8048571428571428,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9994974874371859,0.0,,,,,
DC1_11_S11,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),24.754666666666665,18.589333333333332,22.826599326599325,21.215488215488215,6.9604430379746836,3.325056433408578,0.0,9.48130277442702,5.705972434915774,0.0,7.854692230070635,0.0,19.28005170185265,0.0,0.0,0.0,13.509756097560976,11.113372093023257,0.0,9.38391959798995,0.0,0.9993333333333333,0.9926666666666667,1.0,1.0,0.9920886075949367,0.8487584650112867,0.0,0.9794933655006032,0.9724349157733537,0.0,0.9737638748738647,0.0,0.995260663507109,0.0,0.0,0.0,0.9957317073170732,0.9934593023255814,0.0,0.9834170854271357,0.0,,,,,N87K
DC1_12_S12,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),519.0806666666666,408.32866666666666,496.713468013468,498.3363636363636,105.42405063291139,205.3544018058691,0.0,189.3860072376357,156.7748851454824,0.0,196.79566094853683,57.723142857142854,197.15338216286082,0.0,0.0,0.0,330.12439024390244,220.1875,0.0,180.74120603015075,0.0,1.0,0.9993333333333333,1.0,1.0,0.9968354430379747,1.0,0.0,1.0,1.0,0.0,0.9989909182643795,0.7754285714285715,1.0,0.0,0.0,0.0,1.0,0.9992732558139535,0.0,1.0,0.0,,,,,?
DC1_13_S13,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),363.0113333333333,274.2026666666667,352.5074074074074,349.86228956228956,153.0759493670886,135.67042889390518,0.07465618860510806,186.27181342983513,112.4104134762634,0.0,153.66498486377395,0.0,148.6803102111159,0.0,0.0,0.0,184.6,228.40915697674419,0.0,258.3160804020101,0.06070287539936102,1.0,0.9986666666666667,1.0,1.0,1.0,1.0,0.03732809430255403,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.998780487804878,0.9992732558139535,0.0,1.0,0.03035143769968051,,,,,
DC1_14_S14,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),628.522,490.7873333333333,572.7818181818182,586.3292929292929,157.46518987341773,153.86907449209932,0.0,228.5826296743064,204.9938744257274,0.0,199.02623612512613,0.010857142857142857,296.99698405859544,0.0,0.09069212410501193,0.0,363.26341463414633,291.61773255813955,0.0,288.64472361809044,0.06070287539936102,1.0,1.0,1.0,1.0,0.9936708860759493,0.9954853273137697,0.0,0.9987937273823885,1.0,0.0,0.9989909182643795,0.0054285714285714284,1.0,0.0,0.045346062052505964,0.0,1.0,1.0,0.0,1.0,0.03035143769968051,,,,,
DC1_15_S15,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),1201.6833333333334,875.452,1044.3164983164984,1045.7377104377103,316.9810126582278,684.2054176072235,0.0,570.5154804985926,344.989280245023,0.0,284.1972754793138,71.28714285714285,441.28220594571303,0.0,0.0,0.0,582.5926829268293,609.3466569767442,0.08351648351648351,917.446231155779,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.998468606431853,0.0,1.0,0.8,1.0,0.0,0.0,0.0,0.999390243902439,1.0,0.041758241758241756,1.0,0.0,,,,,N87I
DC1_16_S16,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),277.618,223.24533333333332,256.4111111111111,247.12929292929292,59.052215189873415,109.21670428893906,0.0,77.37997587454765,55.86676875957121,0.0,98.64177598385469,38.67657142857143,92.1292546316243,0.0,0.0,0.0,138.0859756097561,107.42078488372093,0.0,113.79095477386934,0.0,1.0,0.998,1.0,1.0,0.9984177215189873,0.9977426636568849,0.0,1.0,1.0,0.0,0.9994954591321897,0.7494285714285714,1.0,0.0,0.0,0.0,0.998780487804878,0.9978197674418605,0.0,1.0,0.0,,,,,
DC1_1_S1,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),1509.852,1142.2846666666667,1360.3279461279462,1366.6360269360268,332.626582278481,252.9729119638826,0.0,545.9601930036188,468.3399693721286,0.0,538.2991927346116,0.27285714285714285,498.61697544162,0.0,0.0,0.0,796.8810975609756,651.9745639534884,0.4747252747252747,684.3547738693468,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.054,1.0,0.0,0.0,0.0,1.0,1.0,0.23736263736263735,1.0,0.0,,,,,
DC1_2_S2,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),512.0133333333333,401.78266666666667,454.9319865319865,442.03737373737374,81.84810126582279,98.84424379232506,0.0,183.60273421793326,140.22664624808576,0.0,172.96720484359233,0.021714285714285714,204.94700560103405,0.0,0.0,0.0,252.06158536585366,149.96802325581396,0.0,198.24371859296483,0.0,1.0,0.9993333333333333,1.0,1.0,1.0,1.0,0.0,1.0,0.998468606431853,0.0,1.0,0.0054285714285714284,1.0,0.0,0.0,0.0,0.999390243902439,0.9992732558139535,0.0,1.0,0.0,,,,,
DC1_3_S3,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),58.654,40.223333333333336,49.85016835016835,50.09360269360269,16.283227848101266,17.124153498871333,0.0,19.487334137515077,12.39969372128637,0.0,22.857214934409686,4.314857142857143,22.080568720379148,0.05378973105134474,0.0,0.0,25.35731707317073,26.845203488372093,0.0,21.94422110552764,0.0,1.0,0.9886666666666667,1.0,1.0,0.9177215189873418,1.0,0.0,0.9879372738238842,0.9954058192955589,0.0,0.9979818365287588,0.6517142857142857,0.996553209823352,0.02444987775061125,0.0,0.0,0.9969512195121951,0.9941860465116279,0.0,0.9969849246231156,0.0,,,,,
DC1_4_S4,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),114.55,84.38933333333334,92.2003367003367,89.84377104377104,24.805379746835442,68.20090293453724,0.07465618860510806,44.647768395657415,24.796324655436447,0.0,37.539858728557014,8.201428571428572,32.65187419215855,0.0,0.0,0.0,41.21463414634146,48.38735465116279,0.0,52.97286432160804,0.0,1.0,0.9986666666666667,1.0,1.0,0.995253164556962,1.0,0.03732809430255403,0.9991958182549256,0.9923430321592649,0.0,0.9994954591321897,-1.0,0.997845756139595,0.0,0.0,0.0,0.9981707317073171,0.997093023255814,0.0,0.9994974874371859,0.0,,,,,
DC1_5_S5,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),2.1946666666666665,1.5806666666666667,1.5518518518518518,1.3703703703703705,0.0,0.18284424379232506,0.0,0.0305589063128267,0.0,0.0,0.11503531786074672,0.0,0.0,0.0,0.0,0.0,0.0,1.345203488372093,0.0,0.11658291457286432,0.0,0.198,0.042666666666666665,0.13468013468013468,0.08552188552188553,0.0,0.09255079006772009,0.0,0.007639726578206675,0.0,0.0,0.010090817356205853,0.0,0.0,0.0,0.0,0.0,0.0,0.4011627906976744,0.0,0.0,0.0,?,?,,?,?
DC1_6_S6,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),1.78,2.1326666666666667,2.2430976430976433,2.711784511784512,0.0,0.0,0.0,0.11781262565339767,0.0,0.0,0.01917255297679112,0.08371428571428571,0.11805256355019388,0.0,0.0,0.0,0.0,0.19040697674418605,0.08351648351648351,0.28743718592964823,0.0,0.18466666666666667,0.392,0.37407407407407406,0.5276094276094276,0.0,0.0,0.0,0.11781262565339767,0.0,0.0,0.00958627648839556,0.0,0.11805256355019388,0.0,0.0,0.0,0.0,0.013808139534883721,0.041758241758241756,0.22311557788944725,0.0,?,?,?,?,
DC1_7_S7,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),1.2926666666666666,1.5793333333333333,0.3872053872053872,0.42962962962962964,0.0,0.7516930022573364,0.0,0.11660635303578609,0.0,0.0,0.22452068617558021,0.0,0.01809564842740198,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.5331658291457286,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.045146726862302484,0.0,0.0,0.0,0.0,0.010090817356205853,0.0,0.00904782421370099,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,?,?,?,?,?
DC1_8_S8,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),5.260666666666666,5.794666666666667,4.688215488215488,5.299663299663299,0.0,0.0,0.0,0.0,0.0,0.0,0.05751765893037336,0.022285714285714287,0.016372253339077984,0.0,0.0,0.0,0.2579268292682927,0.9454941860465116,0.0,0.04120603015075377,0.0,0.032,0.018666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.011055276381909548,0.0,?,?,?,?,?
DC1_9_S9,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),1472.5753333333334,1095.1646666666666,1217.1010101010102,1203.5575757575757,348.9873417721519,963.5033860045147,0.0,751.9127462806595,487.02450229709035,0.0,683.6634712411706,215.08,494.25721671693236,0.0,0.0,0.0,673.2658536585366,519.359011627907,0.0,876.1929648241206,0.06070287539936102,1.0,1.0,0.9966329966329966,0.9962962962962963,0.9984177215189873,1.0,0.0,1.0,1.0,0.0,1.0,0.806,0.999569151227919,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03035143769968051,,,,,
DC1_Undetermined_S0,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),903.2533333333333,676.058,811.3168350168351,797.252861952862,213.82120253164558,315.01354401805867,0.07465618860510806,383.39203860072377,261.833078101072,0.0,326.14026236125125,67.07828571428571,347.2929771650151,0.0,0.18138424821002386,0.0,446.06158536585366,380.99345930232556,0.4747252747252747,537.5552763819095,0.0,0.9986666666666667,1.0,1.0,1.0,0.9857594936708861,0.9864559819413092,0.03732809430255403,0.9943707277844793,0.9938744257274119,0.0,0.9949545913218971,0.8108571428571428,0.99138302455838,0.0,0.045346062052505964,0.0,0.9945121951219512,0.9905523255813954,0.23736263736263735,0.9959798994974874,0.0,,,,,?
